gene,gene_length,KRutLoading,kRiboLoading,final_mse,final_rms,generations,early_stopped,wall_time
ydbA,8622,0.13,0.0,6.290295,2.5080,92,True,942.1
yeeJ,7077,0.13,0.022,3.788325,1.9464,146,True,1076.8
yneO,5323,0.13,0.0,2.942514,1.7154,74,True,491.2
yfhM,4962,0.13,0.074,5.661610,2.3794,164,True,1705.5
lhr,4617,0.13,0.028000000000000004,2.923633,1.7099,209,True,1382.5
yfaS,4605,0.13,0.0,1.805163,1.3436,142,True,823.6
ypjA,4581,0.13,0.02,2.000672,1.4145,119,True,1210.2
gltB,4461,0.13,0.174,4.932400,2.2209,233,True,1168.3
yghJ,4563,0.13,0.132,14.756102,3.8414,196,True,1605.6
rhsD,4281,0.13,0.014000000000000002,2.598824,1.6121,55,True,506.6
rhsB,4236,0.13,0.0,2.414855,1.5540,160,True,906.9
mukB,4461,0.13,0.136,3.623096,1.9034,289,True,1987.8
rhsC,4194,0.13,0.0,1.848073,1.3594,85,True,457.6
rpoC,4224,0.13,0.162,10.235862,3.1994,249,True,1620.8
yaiT,4168,0.13,0.0,3.247388,1.8021,112,True,613.3
rhsA,4134,0.13,0.0,1.718033,1.3107,31,True,160.4
ftsK,3990,0.13,0.092,4.305308,2.0749,173,True,1001.4
rpoB,4029,0.13,0.16599999999999998,4.326200,2.0800,237,True,1559.8
putA,3963,0.13,0.196,1.556829,1.2477,150,True,1045.0
hrpA,3903,0.13,0.2,3.239086,1.7997,224,True,1462.7
purL,3888,0.13,0.25,4.761465,2.1821,174,True,907.5
yqiG,3805,0.13,0.0,2.182745,1.4774,165,True,839.2
entF,3882,0.13,0.132,1.509351,1.2286,259,True,2138.9
yhdP,3801,0.13,0.046,5.738766,2.3956,210,True,1323.3
yehH,3796,0.13,0.0,2.617823,1.6180,106,True,497.1
yejO,3791,0.13,0.0,4.148511,2.0368,134,True,726.5
tamB,3780,0.13,0.0,8.238517,2.8703,224,True,1373.0
yfaL,3753,0.13,0.014000000000000002,1.929711,1.3891,181,True,1467.3
narZ,3741,0.13,0.0,1.312453,1.1456,105,True,506.8
narG,3744,0.13,0.0,1.691111,1.3004,208,True,984.3
yehI,3633,0.13,0.0,2.415549,1.5542,60,True,276.1
metH,3684,0.13,0.22000000000000003,4.410599,2.1001,188,True,819.5
evgS,3594,0.13,0.12,4.209055,2.0516,240,True,1137.7
recB,3543,0.13,0.05,6.357988,2.5215,133,True,753.3
ydbK,3525,0.13,0.246,4.788258,2.1882,241,True,1006.6
hsdR,3513,0.13,0.15,3.566235,1.8884,202,True,953.8
bcsC,3474,0.13,0.06,2.713938,1.6474,98,True,782.4
dnaE,3483,0.13,0.038,7.035370,2.6524,163,True,1373.0
mfd,3447,0.13,0.20600000000000002,3.933468,1.9833,218,True,1302.1
recC,3369,0.13,0.066,4.158880,2.0393,132,True,929.4
stfR,3363,0.13,0.0,1.445256,1.2022,73,True,318.0
mscM,3324,0.13,0.16399999999999998,6.551636,2.5596,244,True,889.9
mscK,3363,0.13,0.0,3.904348,1.9759,300,False,1521.0
yphG,3282,0.13,0.0,1.555562,1.2472,119,True,490.7
yegE,3318,0.13,0.046,3.738601,1.9335,267,True,1518.4
carB,3222,0.13,0.296,2.355177,1.5347,177,True,978.5
rne,3186,0.13,0.242,5.490309,2.3431,132,True,528.5
acrB,3150,0.13,0.126,3.723865,1.9297,300,False,1264.8
sbcC,3147,0.13,0.11000000000000001,3.811165,1.9522,191,True,1203.6
cusA,3144,0.13,0.0,1.722051,1.3123,135,True,589.6
flu,3120,0.13,0.47400000000000003,0.748514,0.8652,109,True,574.6
mdtB,3123,0.13,0.076,1.954343,1.3980,143,True,920.2
mdtF,3114,0.13,0.0,2.539337,1.5935,166,True,706.7
acrD,3114,0.13,0.118,1.500163,1.2248,193,True,1103.0
ygfK,3099,0.13,0.0,1.448749,1.2036,97,True,374.8
ebgA,3093,0.13,0.0,1.865848,1.3660,73,True,289.8
acrF,3105,0.13,0.02,3.090452,1.7580,197,True,1233.2
mdtC,3078,0.13,0.066,2.139035,1.4625,132,True,820.2
lacZ,3075,0.13,0.2,2.935712,1.7134,261,True,1071.2
ydiJ,3057,0.13,0.27,2.868605,1.6937,268,True,1457.2
fdoG,3051,0.13,0.024,4.039577,2.0099,255,True,1137.1
fdnG,3048,0.13,0.008,1.724181,1.3131,144,True,801.8
nfrA,2973,0.13,0.086,2.032766,1.4258,271,True,1466.9
yjiV,2937,0.13,0.0,2.753680,1.6594,300,False,1118.4
rapA,2907,0.13,0.348,3.401344,1.8443,273,True,897.7
ptrA,2889,0.13,0.134,3.631254,1.9056,207,True,958.0
gcvP,2874,0.13,0.258,3.607769,1.8994,201,True,789.8
xdhD,2871,0.13,0.054000000000000006,1.305485,1.1426,180,True,1074.7
ycgV,2868,0.13,0.008,1.985184,1.4090,125,True,655.3
valS,2856,0.13,0.348,3.571249,1.8898,300,False,941.9
rcsC,2850,0.13,0.08199999999999999,4.496025,2.1204,169,True,924.8
glnE,2841,0.13,0.074,7.363951,2.7137,202,True,1047.7
uvrA,2823,0.13,0.22200000000000003,3.471618,1.8632,233,True,1158.8
ileS,2817,0.13,0.27999999999999997,3.617492,1.9020,257,True,1064.9
sucA,2802,0.13,0.16799999999999998,3.946585,1.9866,161,True,900.3
polA,2787,0.13,0.352,4.354866,2.0868,175,True,610.6
barA,2757,0.13,0.098,6.699309,2.5883,68,True,277.5
pqqL,2796,0.13,0.192,1.479098,1.2162,177,True,994.7
torS,2745,0.13,0.0,1.754683,1.3246,236,True,876.5
rbbA,2736,0.13,0.08,3.659127,1.9129,175,True,899.7
nuoG,2727,0.13,0.11599999999999999,4.002436,2.0006,193,True,761.9
malT,2706,0.13,0.072,5.033954,2.2436,244,True,1090.3
mgtA,2697,0.13,0.11200000000000002,5.570000,2.3601,174,True,356.0
secA,2706,0.13,0.27999999999999997,3.714516,1.9273,282,True,1133.2
chiA,2694,0.13,0.148,2.189554,1.4797,171,True,861.5
kdpD,2685,0.13,0.08199999999999999,3.389436,1.8410,185,True,732.7
adhE,2676,0.13,0.38,3.660982,1.9134,153,True,454.4
acnA,2676,0.13,0.20800000000000002,2.893982,1.7012,205,True,831.9
glnD,2673,0.13,0.10600000000000001,3.168088,1.7799,187,True,723.2
infB,2673,0.13,0.256,2.753134,1.6593,197,True,784.6
rcsD,2673,0.13,0.094,4.428510,2.1044,119,True,604.5
ygcB,2667,0.13,0.0,1.858802,1.3634,237,True,918.6
aceE,2664,0.13,0.298,2.906725,1.7049,210,True,788.9
pka,2661,0.13,0.0,4.135469,2.0336,156,True,406.1
ycgH,2648,0.13,0.0,3.457725,1.8595,111,True,409.8
ppc,2652,0.13,0.358,3.397484,1.8432,179,True,667.6
yfcU,2646,0.13,0.0,2.978180,1.7257,130,True,469.0
ydbH,2640,0.13,0.086,4.493747,2.1198,167,True,880.6
fimD,2637,0.13,0.041999999999999996,5.384372,2.3204,150,True,666.5
mngB,2634,0.13,0.088,2.282512,1.5108,186,True,1057.5
yebT,2634,0.13,0.126,4.063822,2.0159,300,False,1532.9
alaS,2631,0.13,0.26,3.761456,1.9394,266,True,1196.5
gyrA,2628,0.13,0.194,5.343402,2.3116,253,True,932.3
bcsA,2619,0.13,0.02,2.232861,1.4943,116,True,595.2
pepN,2613,0.13,0.426,2.535546,1.5923,222,True,642.1
elfC,2601,0.13,0.0,2.352772,1.5339,80,True,279.1
sfmD,2604,0.13,0.0,1.587584,1.2600,221,True,775.3
recE,2601,0.13,0.0,1.061121,1.0301,43,True,146.7
htrE,2598,0.13,0.0,1.865104,1.3657,149,True,552.9
acnB,2598,0.13,0.318,4.199672,2.0493,256,True,883.4
insO,2597,0.13,0.0,1.772861,1.3315,107,True,369.4
topA,2598,0.13,0.21600000000000003,4.639308,2.1539,205,True,920.1
clpB,2574,0.13,0.22200000000000003,6.039663,2.4576,114,True,166.6
mutS,2562,0.13,0.266,9.898649,3.1462,180,True,495.6
leuS,2583,0.13,0.33799999999999997,2.397231,1.5483,294,True,1306.1
mrcA,2553,0.13,0.136,8.378003,2.8945,179,True,745.2
torA,2547,0.13,0.0,1.366725,1.1691,53,True,175.8
cyaA,2547,0.13,0.038,4.828869,2.1975,261,True,1088.4
nirB,2544,0.13,0.0,2.052666,1.4327,206,True,674.3
opgH,2544,0.13,0.11000000000000001,4.114559,2.0284,195,True,856.9
mrcB,2535,0.13,0.10800000000000001,3.285448,1.8126,226,True,910.9
ecpC,2526,0.13,0.0,1.242619,1.1147,87,True,284.8
yraJ,2517,0.13,0.0,2.071954,1.4394,147,True,502.6
ptsA,2502,0.13,0.0,1.331173,1.1538,100,True,326.4
copA,2505,0.13,0.10400000000000001,1.944256,1.3944,206,True,875.5
fryA,2496,0.13,0.0,1.679517,1.2960,135,True,451.2
napA,2487,0.13,0.21600000000000003,1.128532,1.0623,132,True,572.4
yehB,2481,0.13,0.0,1.140701,1.0680,105,True,347.7
thrA,2463,0.13,0.196,6.253631,2.5007,127,True,342.6
ybgQ,2448,0.13,0.0,1.068430,1.0336,68,True,212.9
glgP,2448,0.13,0.076,4.827812,2.1972,122,True,715.0
dmsA,2445,0.13,0.0,1.961149,1.4004,169,True,518.6
rnr,2442,0.13,0.21000000000000002,4.586000,2.1415,181,True,593.5
fadE,2445,0.13,0.066,2.036514,1.4271,300,True,1494.7
bamA,2433,0.13,0.158,4.247057,2.0608,223,True,836.2
ybiW,2433,0.13,0.0,1.027323,1.0136,91,True,283.8
metL,2433,0.13,0.21000000000000002,4.224091,2.0553,237,True,800.3
torZ,2430,0.13,0.0,1.906744,1.3808,147,True,518.0
hrpB,2430,0.13,0.062,3.025933,1.7395,221,True,1098.5
ynfE,2427,0.13,0.0,1.971108,1.4040,205,True,514.2
pgaA,2424,0.13,0.0,1.853278,1.3614,206,True,578.2
ynfF,2424,0.13,0.0,1.031770,1.0158,71,True,222.5
yhiS,2423,0.13,0.0,0.833644,0.9130,66,True,206.2
plsB,2424,0.13,0.20400000000000001,3.524960,1.8775,247,True,1047.7
gyrB,2415,0.13,0.306,3.390511,1.8413,213,True,722.1
dosP,2400,0.13,0.0,1.781945,1.3349,130,True,412.6
ybbP,2415,0.13,0.076,2.182027,1.4772,187,True,887.5
malP,2394,0.13,0.372,1.882557,1.3721,139,True,493.5
gcd,2391,0.13,0.184,2.506221,1.5831,187,True,646.2
